Timestamp,Ticker,Amount,Date of Pay,Type
1/2/2026,SLJY,0.48366,12/30/2025,Dividend
1/2/2026,COYY,0.22827,12/31/2025,Dividend
1/2/2026,DRAY,0.3011,12/31/2025,Dividend
1/2/2026,KGLD,0.3,12/8/2025,Dividend
1/2/2026,SSK,0.091,12/8/2025,Dividend
1/2/2026,BLOX,0.1285,12/31/2025,Dividend
1/2/2026,IAUI,0.5975,12/27/2025,Dividend
1/2/2026,TSII,0.3084,12/29/2025,Dividend
1/2/2026,MSII,0.04,12/29/2025,Dividend
1/2/2026,COII,0.06,12/29/2025,Dividend
1/2/2026,RBLY,0.2572,12/31/2025,Dividend
1/2/2026,BRKC,0.1368,12/31/2025,Dividend
1/2/2026,NVII,0.1724,12/29/2025,Dividend
1/2/2026,NVYY,0.35002,12/31/2025,Dividend
1/2/2026,XBTY,0.21124,12/31/2025,Dividend
1/2/2026,HOOY,0.5728,12/31/2025,Dividend
1/2/2026,MST,0.1133,12/31/2025,Dividend
1/2/2026,BAGY,1.134,12/30/2025,Dividend
1/2/2026,BITY,0.799,12/30/2025,Dividend
1/2/2026,MAGY,0.359668,12/31/2025,Dividend
1/2/2026,RNTY,0.4937,12/30/2025,Dividend
1/2/2026,SPYH,0.36,12/27/2025,Dividend
1/2/2026,CHPY,0.4401,12/30/2025,Dividend
1/2/2026,GLDY,0.1801,12/24/2025,Dividend
1/2/2026,WNTR,0.6812,12/31/2025,Dividend
1/2/2026,WEEK,0.06877,12/31/2025,Dividend
1/2/2026,RDTY,0.2049,12/30/2025,Dividend
1/2/2026,TQQY,0.14919,12/31/2025,Dividend
1/2/2026,YSPY,0.17932,12/31/2025,Dividend
1/2/2026,QDTY,0.1494,12/30/2025,Dividend
1/2/2026,SDTY,0.124,12/30/2025,Dividend
1/2/2026,CVNY,0.332,12/31/2025,Dividend
1/2/2026,GPTY,0.2565,12/30/2025,Dividend
1/2/2026,IYRI,0.4399,12/27/2025,Dividend
1/2/2026,LFGY,0.2481,12/30/2025,Dividend
1/2/2026,TSYY,0.1435,12/31/2025,Dividend
1/2/2026,FEAT,0.3415,12/30/2025,Dividend
1/2/2026,FIVY,0.2507,12/30/2025,Dividend
1/2/2026,TLTI,0.24,12/27/2025,Dividend
1/2/2026,MARO,0.1285,12/31/2025,Dividend
1/2/2026,CEPI,1.2281,12/8/2025,Dividend
1/2/2026,SOXY,0.6045,12/30/2025,Dividend
1/2/2026,BIGY,0.5325,12/30/2025,Dividend
1/2/2026,XPAY,0.952845,12/31/2025,Dividend
1/2/2026,TLTP,0.2369,12/30/2025,Dividend
1/2/2026,BTCI,0.9967,12/27/2025,Dividend
1/2/2026,HYBI,0.34,12/27/2025,Dividend
1/2/2026,RDTE,1.083798,12/30/2025,Dividend
1/2/2026,YETH,0.174354,12/30/2025,Dividend
1/2/2026,ITWO,0.155788,12/15/2025,Dividend
1/2/2026,TDAQ,0.37405,12/30/2025,Dividend
1/2/2026,QDVO,0.27069,12/30/2025,Dividend
1/2/2026,PLTY,0.513,12/31/2025,Dividend
1/2/2026,SMCY,0.0947,12/31/2025,Dividend
1/2/2026,TSMY,0.0905,12/31/2025,Dividend
1/2/2026,YQQQ,0.0423,12/31/2025,Dividend
1/2/2026,TSPY,0.30087,12/30/2025,Dividend
1/2/2026,BABO,0.0915,12/31/2025,Dividend
1/2/2026,GIAX,0.0773,12/31/2025,Dividend
1/2/2026,DIPS,0.3945,12/31/2025,Dividend
1/2/2026,KQQQ,0.41,12/8/2025,Dividend
1/2/2026,FIAT,0.4128,12/31/2025,Dividend
1/2/2026,IWMI,0.599,12/27/2025,Dividend
1/2/2026,ABNY,0.3313,12/31/2025,Dividend
1/2/2026,QQQT,0.3109,12/31/2025,Dividend
1/2/2026,SNOY,0.1081,12/31/2025,Dividend
1/2/2026,AIPI,1.2011,12/8/2025,Dividend
1/2/2026,GDXY,0.1593,12/31/2025,Dividend
1/2/2026,USOY,0.0529,12/24/2025,Dividend
1/2/2026,CRSH,0.2408,12/31/2025,Dividend
1/2/2026,YBIT,0.2845,12/31/2025,Dividend
1/2/2026,IQQQ,0.279958,12/15/2025,Dividend
1/2/2026,QDTE,1.721033,12/30/2025,Dividend
1/2/2026,XDTE,2.053236,12/30/2025,Dividend
1/2/2026,SPYT,0.3116,12/31/2025,Dividend
1/2/2026,ULTY,0.4866,12/30/2025,Dividend
1/2/2026,MSTY,0.4091,12/31/2025,Dividend
1/2/2026,QQQI,0.6412,12/27/2025,Dividend
1/2/2026,YMAG,0.0992,12/30/2025,Dividend
1/2/2026,YBTC,1.385423,12/30/2025,Dividend
1/2/2026,YMAX,0.106,12/30/2025,Dividend
1/2/2026,ISPY,0.203056,12/15/2025,Dividend
1/2/2026,PYPY,0.2833,12/31/2025,Dividend
1/2/2026,AIYY,0.1725,12/31/2025,Dividend
1/2/2026,XOMO,0.0456,12/31/2025,Dividend
1/2/2026,IWMY,0.1188,12/24/2025,Dividend
1/2/2026,MSFY,0.8,12/8/2025,Dividend
1/2/2026,AMZP,0.5,12/8/2025,Dividend
1/2/2026,GOOP,0.4,12/8/2025,Dividend
1/2/2026,NFLP,0.55,12/8/2025,Dividend
1/2/2026,TSLP,0.5,12/8/2025,Dividend
1/2/2026,AAPY,0.25,12/8/2025,Dividend
1/2/2026,GPIQ,0.43,12/9/2025,Dividend
1/2/2026,GPIX,0.35,12/9/2025,Dividend
1/2/2026,MRNY,0.1601,12/31/2025,Dividend
1/2/2026,FEPI,0.9588,12/8/2025,Dividend
1/2/2026,XYZY,0.3337,12/31/2025,Dividend
1/2/2026,HCOW,0.246,12/30/2025,Dividend
1/2/2026,WDTE,0.1854,12/24/2025,Dividend
1/2/2026,AMDY,0.3795,12/31/2025,Dividend
1/2/2026,QQQY,0.139,12/24/2025,Dividend
1/2/2026,JPMO,0.0812,12/31/2025,Dividend
1/2/2026,DISO,0.0899,12/31/2025,Dividend
1/2/2026,MSFO,0.062,12/31/2025,Dividend
1/2/2026,NFLY,0.0729,12/31/2025,Dividend
1/2/2026,CONY,0.4342,12/31/2025,Dividend
1/2/2026,FBY,0.0612,12/31/2025,Dividend
1/2/2026,GOOY,0.0845,12/31/2025,Dividend
1/2/2026,AMZY,0.0651,12/31/2025,Dividend
1/2/2026,NVDY,0.1435,12/31/2025,Dividend
1/2/2026,APLY,0.0532,12/31/2025,Dividend
1/2/2026,FIAX,0.1209,12/31/2025,Dividend
1/2/2026,TSLY,0.3658,12/31/2025,Dividend
1/2/2026,OARK,0.2191,12/31/2025,Dividend
1/2/2026,SPYI,0.5316,12/27/2025,Dividend
1/2/2026,BNDI,0.229,12/27/2025,Dividend
1/2/2026,CSHI,0.1994,12/27/2025,Dividend
1/2/2026,JEPQ,0.55,12/3/2025,Dividend
1/2/2026,SVOL,0.26,12/28/2025,Dividend
1/2/2026,JEPI,0.37,12/3/2025,Dividend
1/2/2026,QQQH,0.4116,12/27/2025,Dividend
1/2/2026,RYLD,0.18,12/2/2025,Dividend
1/2/2026,QYLD,0.17,12/2/2025,Dividend
1/2/2026,XYLD,0.28,12/2/2025,Dividend
1/2/2026,QDTE,1.721,12/31/2025,Backfill
1/2/2026,QDTE,1.915,12/24/2025,Backfill
1/2/2026,QDTE,0.202,12/18/2025,Backfill
1/2/2026,QDTE,0.202,12/11/2025,Backfill
1/2/2026,QDTE,0.385,12/4/2025,Backfill
1/2/2026,QDTE,0.234,11/26/2025,Backfill
1/2/2026,QDTE,0.225,11/20/2025,Backfill
1/2/2026,QDTE,0.223,11/13/2025,Backfill
1/2/2026,QDTE,0.205,11/6/2025,Backfill
1/2/2026,QDTE,0.236,10/30/2025,Backfill
1/2/2026,QDTE,0.198,10/23/2025,Backfill
1/2/2026,QDTE,0.204,10/16/2025,Backfill
1/2/2026,QDTE,0.204,10/9/2025,Backfill
1/2/2026,QDTE,0.207,10/2/2025,Backfill
1/2/2026,QDTE,0.204,9/25/2025,Backfill
1/2/2026,QDTE,0.201,9/18/2025,Backfill
1/2/2026,QDTE,0.2,9/11/2025,Backfill
1/2/2026,QDTE,0.286,9/4/2025,Backfill
1/2/2026,QDTE,0.204,8/28/2025,Backfill
1/2/2026,QDTE,0.239,8/21/2025,Backfill
1/2/2026,QDTE,0.233,8/14/2025,Backfill
1/2/2026,QDTE,0.239,8/7/2025,Backfill
1/2/2026,QDTE,0.238,7/31/2025,Backfill
1/2/2026,QDTE,0.237,7/24/2025,Backfill
1/2/2026,QDTE,0.239,7/17/2025,Backfill
1/2/2026,QDTE,0.237,7/10/2025,Backfill
1/2/2026,QDTE,0.229,7/2/2025,Backfill
1/2/2026,QDTE,0.247,6/26/2025,Backfill
1/2/2026,QDTE,0.205,6/18/2025,Backfill
1/2/2026,QDTE,0.146,6/12/2025,Backfill
1/2/2026,QDTE,0.208,6/5/2025,Backfill
1/2/2026,QDTE,0.215,5/29/2025,Backfill
1/2/2026,QDTE,0.172,5/22/2025,Backfill
1/2/2026,QDTE,0.18,5/15/2025,Backfill
1/2/2026,QDTE,0.308,5/8/2025,Backfill
1/2/2026,QDTE,0.218,5/1/2025,Backfill
1/2/2026,QDTE,0.24,4/24/2025,Backfill
1/2/2026,QDTE,0.209,4/16/2025,Backfill
1/2/2026,QDTE,0.18,4/10/2025,Backfill
1/2/2026,QDTE,0.25,4/3/2025,Backfill
1/2/2026,QDTE,0.236,3/27/2025,Backfill
1/2/2026,QDTE,0.277,3/20/2025,Backfill
1/2/2026,QDTE,0.233,3/13/2025,Backfill
1/2/2026,QDTE,0.151,3/6/2025,Backfill
1/2/2026,QDTE,0.26,2/27/2025,Backfill
1/2/2026,QDTE,0.246,2/20/2025,Backfill
1/2/2026,QDTE,0.251,2/13/2025,Backfill
1/2/2026,QDTE,0.231,2/6/2025,Backfill
1/2/2026,QDTE,0.188,1/30/2025,Backfill
1/2/2026,QDTE,0.246,1/23/2025,Backfill
1/2/2026,QDTE,0.337,1/16/2025,Backfill
1/2/2026,QDTE,0.183,1/8/2025,Backfill
1/2/2026,QDTE,0.298,1/2/2025,Backfill
1/2/2026,QDTE,0.804,12/26/2024,Backfill
1/2/2026,QDTE,0.87,12/19/2024,Backfill
1/2/2026,QDTE,0.165,12/12/2024,Backfill
1/2/2026,QDTE,0.236,12/5/2024,Backfill
1/2/2026,QDTE,0.221,11/27/2024,Backfill
1/2/2026,QDTE,0.252,11/21/2024,Backfill
1/2/2026,QDTE,0.253,11/14/2024,Backfill
1/2/2026,QDTE,0.265,11/7/2024,Backfill
1/2/2026,QDTE,0.205,10/31/2024,Backfill
1/2/2026,QDTE,0.208,10/24/2024,Backfill
1/2/2026,QDTE,0.318,10/17/2024,Backfill
1/2/2026,QDTE,0.27,10/10/2024,Backfill
1/2/2026,QDTE,0.218,10/3/2024,Backfill
1/2/2026,QDTE,0.257,9/26/2024,Backfill
1/2/2026,QDTE,0.195,9/19/2024,Backfill
1/2/2026,QDTE,0.446,9/12/2024,Backfill
1/2/2026,QDTE,0.329,9/5/2024,Backfill
1/2/2026,QDTE,0.313,8/29/2024,Backfill
1/2/2026,QDTE,0.476,8/22/2024,Backfill
1/2/2026,QDTE,0.476,8/15/2024,Backfill
1/2/2026,QDTE,0.514,8/8/2024,Backfill
1/2/2026,QDTE,0.569,8/1/2024,Backfill
1/2/2026,QDTE,0.354,7/25/2024,Backfill
1/2/2026,QDTE,0.31,7/18/2024,Backfill
1/2/2026,QDTE,0.346,7/11/2024,Backfill
1/2/2026,QDTE,0.197,7/3/2024,Backfill
1/2/2026,QDTE,0.355,6/27/2024,Backfill
1/2/2026,QDTE,0.298,6/20/2024,Backfill
1/2/2026,QDTE,0.234,6/13/2024,Backfill
1/2/2026,QDTE,0.143,6/6/2024,Backfill
1/2/2026,QDTE,0.212,5/30/2024,Backfill
1/2/2026,QDTE,0.212,5/22/2024,Backfill
1/2/2026,QDTE,0.375,5/15/2024,Backfill
1/2/2026,QDTE,0.311,5/8/2024,Backfill
1/2/2026,QDTE,0.252,5/1/2024,Backfill
1/2/2026,QDTE,0.334,4/24/2024,Backfill
1/2/2026,QDTE,0.267,4/17/2024,Backfill
1/2/2026,QDTE,0.091,4/10/2024,Backfill
1/2/2026,QDTE,0.332,4/3/2024,Backfill
1/2/2026,QDTE,0.364,3/26/2024,Backfill
1/3/2026,XDTE,2.053,12/31/2025,Backfill
1/3/2026,XDTE,1.38,12/24/2025,Backfill
1/3/2026,XDTE,0.21,12/18/2025,Backfill
1/3/2026,XDTE,0.21,12/11/2025,Backfill
1/3/2026,XDTE,0.311,12/4/2025,Backfill
1/3/2026,XDTE,0.208,11/26/2025,Backfill
1/3/2026,XDTE,0.269,11/20/2025,Backfill
1/3/2026,XDTE,0.217,11/13/2025,Backfill
1/3/2026,XDTE,0.211,11/6/2025,Backfill
1/3/2026,XDTE,0.251,10/30/2025,Backfill
1/3/2026,XDTE,0.206,10/23/2025,Backfill
1/3/2026,XDTE,0.212,10/16/2025,Backfill
1/3/2026,XDTE,0.212,10/9/2025,Backfill
1/3/2026,XDTE,0.171,10/2/2025,Backfill
1/3/2026,XDTE,0.169,9/25/2025,Backfill
1/3/2026,XDTE,0.21,9/18/2025,Backfill
1/3/2026,XDTE,0.21,9/11/2025,Backfill
1/3/2026,XDTE,0.213,9/4/2025,Backfill
1/3/2026,XDTE,0.212,8/28/2025,Backfill
1/3/2026,XDTE,0.254,8/21/2025,Backfill
1/3/2026,XDTE,0.25,8/14/2025,Backfill
1/3/2026,XDTE,0.257,8/7/2025,Backfill
1/3/2026,XDTE,0.254,7/31/2025,Backfill
1/3/2026,XDTE,0.254,7/24/2025,Backfill
1/3/2026,XDTE,0.256,7/17/2025,Backfill
1/3/2026,XDTE,0.254,7/10/2025,Backfill
1/3/2026,XDTE,0.247,7/2/2025,Backfill
1/3/2026,XDTE,0.269,6/26/2025,Backfill
1/3/2026,XDTE,0.223,6/18/2025,Backfill
1/3/2026,XDTE,0.193,6/12/2025,Backfill
1/3/2026,XDTE,0.249,6/5/2025,Backfill
1/3/2026,XDTE,0.207,5/29/2025,Backfill
1/3/2026,XDTE,0.212,5/22/2025,Backfill
1/3/2026,XDTE,0.24,5/15/2025,Backfill
1/3/2026,XDTE,0.336,5/8/2025,Backfill
1/3/2026,XDTE,0.255,5/1/2025,Backfill
1/3/2026,XDTE,0.343,4/24/2025,Backfill
1/3/2026,XDTE,0.236,4/16/2025,Backfill
1/3/2026,XDTE,0.217,4/10/2025,Backfill
1/3/2026,XDTE,0.275,4/3/2025,Backfill
1/3/2026,XDTE,0.211,3/27/2025,Backfill
1/3/2026,XDTE,0.325,3/20/2025,Backfill
1/3/2026,XDTE,0.244,3/13/2025,Backfill
1/3/2026,XDTE,0.142,3/6/2025,Backfill
1/3/2026,XDTE,0.203,2/27/2025,Backfill
1/3/2026,XDTE,0.22,2/20/2025,Backfill
1/3/2026,XDTE,0.234,2/13/2025,Backfill
1/3/2026,XDTE,0.178,2/6/2025,Backfill
1/3/2026,XDTE,0.255,1/30/2025,Backfill
1/3/2026,XDTE,0.214,1/23/2025,Backfill
1/3/2026,XDTE,0.368,1/16/2025,Backfill
1/3/2026,XDTE,0.19,1/8/2025,Backfill
1/3/2026,XDTE,0.336,1/2/2025,Backfill
1/3/2026,XDTE,0.606,12/26/2024,Backfill
1/3/2026,XDTE,0.642,12/19/2024,Backfill
1/3/2026,XDTE,0.154,12/12/2024,Backfill
1/3/2026,XDTE,0.235,12/5/2024,Backfill
1/3/2026,XDTE,0.186,11/27/2024,Backfill
1/3/2026,XDTE,0.258,11/21/2024,Backfill
1/3/2026,XDTE,0.274,11/14/2024,Backfill
1/3/2026,XDTE,0.214,11/7/2024,Backfill
1/3/2026,XDTE,0.155,10/31/2024,Backfill
1/3/2026,XDTE,0.239,10/24/2024,Backfill
1/3/2026,XDTE,0.217,10/17/2024,Backfill
1/3/2026,XDTE,0.202,10/10/2024,Backfill
1/3/2026,XDTE,0.229,10/3/2024,Backfill
1/3/2026,XDTE,0.188,9/26/2024,Backfill
1/3/2026,XDTE,0.199,9/19/2024,Backfill
1/3/2026,XDTE,0.335,9/12/2024,Backfill
1/3/2026,XDTE,0.312,9/5/2024,Backfill
1/3/2026,XDTE,0.261,8/29/2024,Backfill
1/3/2026,XDTE,0.388,8/22/2024,Backfill
1/3/2026,XDTE,0.387,8/15/2024,Backfill
1/3/2026,XDTE,0.412,8/8/2024,Backfill
1/3/2026,XDTE,0.351,8/1/2024,Backfill
1/3/2026,XDTE,0.241,7/25/2024,Backfill
1/3/2026,XDTE,0.201,7/18/2024,Backfill
1/3/2026,XDTE,0.237,7/11/2024,Backfill
1/3/2026,XDTE,0.215,7/3/2024,Backfill
1/3/2026,XDTE,0.264,6/27/2024,Backfill
1/3/2026,XDTE,0.225,6/20/2024,Backfill
1/3/2026,XDTE,0.203,6/13/2024,Backfill
1/3/2026,XDTE,0.111,6/6/2024,Backfill
1/3/2026,XDTE,0.163,5/30/2024,Backfill
1/3/2026,XDTE,0.133,5/22/2024,Backfill
1/3/2026,XDTE,0.344,5/15/2024,Backfill
1/3/2026,XDTE,0.239,5/8/2024,Backfill
1/3/2026,XDTE,0.258,5/1/2024,Backfill
1/3/2026,XDTE,0.374,4/24/2024,Backfill
1/3/2026,XDTE,0.195,4/17/2024,Backfill
1/3/2026,XDTE,0.022,4/10/2024,Backfill
1/3/2026,XDTE,0.129,4/3/2024,Backfill
1/3/2026,XDTE,0.209,3/26/2024,Backfill
1/3/2026,RDTE,1.084,12/31/2025,Backfill
1/3/2026,RDTE,0.395,12/24/2025,Backfill
1/3/2026,RDTE,0.212,12/18/2025,Backfill
1/3/2026,RDTE,0.213,12/11/2025,Backfill
1/3/2026,RDTE,0.239,12/4/2025,Backfill
1/3/2026,RDTE,0.225,11/26/2025,Backfill
1/3/2026,RDTE,0.253,11/20/2025,Backfill
1/3/2026,RDTE,0.387,11/13/2025,Backfill
1/3/2026,RDTE,0.223,11/6/2025,Backfill
1/3/2026,RDTE,0.245,10/30/2025,Backfill
1/3/2026,RDTE,0.225,10/23/2025,Backfill
1/3/2026,RDTE,0.227,10/16/2025,Backfill
1/3/2026,RDTE,0.225,10/9/2025,Backfill
1/3/2026,RDTE,0.366,10/2/2025,Backfill
1/3/2026,RDTE,0.193,9/25/2025,Backfill
1/3/2026,RDTE,0.227,9/18/2025,Backfill
1/3/2026,RDTE,0.226,9/11/2025,Backfill
1/3/2026,RDTE,0.324,9/4/2025,Backfill
1/3/2026,RDTE,0.224,8/28/2025,Backfill
1/3/2026,RDTE,0.255,8/21/2025,Backfill
1/3/2026,RDTE,0.314,8/14/2025,Backfill
1/3/2026,RDTE,0.262,8/7/2025,Backfill
1/3/2026,RDTE,0.289,7/31/2025,Backfill
1/3/2026,RDTE,0.308,7/24/2025,Backfill
1/3/2026,RDTE,0.265,7/17/2025,Backfill
1/3/2026,RDTE,0.262,7/10/2025,Backfill
1/3/2026,RDTE,0.259,7/2/2025,Backfill
1/3/2026,RDTE,0.275,6/26/2025,Backfill
1/3/2026,RDTE,0.244,6/18/2025,Backfill
1/3/2026,RDTE,0.135,6/12/2025,Backfill
1/3/2026,RDTE,0.301,6/5/2025,Backfill
1/3/2026,RDTE,0.267,5/29/2025,Backfill
1/3/2026,RDTE,0.249,5/22/2025,Backfill
1/3/2026,RDTE,0.237,5/15/2025,Backfill
1/3/2026,RDTE,0.238,5/8/2025,Backfill
1/3/2026,RDTE,0.253,5/1/2025,Backfill
1/3/2026,RDTE,0.312,4/24/2025,Backfill
1/3/2026,RDTE,0.236,4/16/2025,Backfill
1/3/2026,RDTE,0.246,4/10/2025,Backfill
1/3/2026,RDTE,0.322,4/3/2025,Backfill
1/3/2026,RDTE,0.192,3/27/2025,Backfill
1/3/2026,RDTE,0.327,3/20/2025,Backfill
1/3/2026,RDTE,0.301,3/13/2025,Backfill
1/3/2026,RDTE,0.15,3/6/2025,Backfill
1/3/2026,RDTE,0.193,2/27/2025,Backfill
1/3/2026,RDTE,0.203,2/20/2025,Backfill
1/3/2026,RDTE,0.254,2/13/2025,Backfill
1/3/2026,RDTE,0.28,2/6/2025,Backfill
1/3/2026,RDTE,0.215,1/30/2025,Backfill
1/3/2026,RDTE,0.2,1/23/2025,Backfill
1/3/2026,RDTE,0.375,1/16/2025,Backfill
1/3/2026,RDTE,0.206,1/8/2025,Backfill
1/3/2026,BTCI,0.997,12/24/2025,Backfill
1/3/2026,BTCI,1.018,11/26/2025,Backfill
1/3/2026,BTCI,1.3,10/22/2025,Backfill
1/3/2026,BTCI,1.34,9/24/2025,Backfill
1/3/2026,BTCI,1.415,8/20/2025,Backfill
1/3/2026,BTCI,1.472,7/23/2025,Backfill
1/3/2026,BTCI,1.398,6/25/2025,Backfill
1/3/2026,BTCI,1.515,5/21/2025,Backfill
1/3/2026,BTCI,1.259,4/23/2025,Backfill
1/3/2026,BTCI,1.335,3/26/2025,Backfill
1/3/2026,BTCI,1.432,2/26/2025,Backfill
1/3/2026,BTCI,1.572,1/22/2025,Backfill
1/3/2026,IWMI,0.599,12/24/2025,Backfill
1/3/2026,IWMI,0.573,11/26/2025,Backfill
1/3/2026,IWMI,0.59,10/22/2025,Backfill
1/3/2026,IWMI,0.587,9/24/2025,Backfill
1/3/2026,IWMI,0.562,8/20/2025,Backfill
1/3/2026,IWMI,0.562,7/23/2025,Backfill
1/3/2026,IWMI,0.557,6/25/2025,Backfill
1/3/2026,IWMI,0.553,5/21/2025,Backfill
1/3/2026,IWMI,0.498,4/23/2025,Backfill
1/3/2026,IWMI,0.569,3/26/2025,Backfill
1/3/2026,IWMI,0.583,2/26/2025,Backfill
1/3/2026,IWMI,0.609,1/22/2025,Backfill
1/3/2026,QQQI,0.641,12/24/2025,Backfill
1/3/2026,QQQI,0.63,11/26/2025,Backfill
1/3/2026,QQQI,0.645,10/22/2025,Backfill
1/3/2026,QQQI,0.641,9/24/2025,Backfill
1/3/2026,QQQI,0.629,8/20/2025,Backfill
1/3/2026,QQQI,0.637,7/23/2025,Backfill
1/3/2026,QQQI,0.628,6/25/2025,Backfill
1/3/2026,QQQI,0.637,5/21/2025,Backfill
1/3/2026,QQQI,0.531,4/23/2025,Backfill
1/3/2026,QQQI,0.587,3/26/2025,Backfill
1/3/2026,QQQI,0.614,2/26/2025,Backfill
1/3/2026,QQQI,0.624,1/22/2025,Backfill
1/3/2026,NIHI,0.561,12/24/2025,Backfill
1/3/2026,NIHI,0.404,11/26/2025,Backfill
1/3/2026,NIHI,0.403,10/22/2025,Backfill
1/3/2026,NIHI,0.38,9/24/2025,Backfill
1/3/2026,IAUI,0.598,12/24/2025,Backfill
1/3/2026,IAUI,0.571,11/26/2025,Backfill
1/3/2026,IAUI,0.581,10/22/2025,Backfill
1/3/2026,IAUI,0.543,9/24/2025,Backfill
1/3/2026,IAUI,0.511,8/20/2025,Backfill
1/3/2026,IAUI,0.52,7/23/2025,Backfill
1/3/2026,IAUI,0.522,6/25/2025,Backfill
1/3/2026,SPYI,0.532,12/24/2025,Backfill
1/3/2026,SPYI,0.522,11/26/2025,Backfill
1/3/2026,SPYI,0.527,10/22/2025,Backfill
1/3/2026,SPYI,0.527,9/24/2025,Backfill
1/3/2026,SPYI,0.518,8/20/2025,Backfill
1/3/2026,SPYI,0.511,7/23/2025,Backfill
1/3/2026,SPYI,0.505,6/25/2025,Backfill
1/3/2026,SPYI,0.506,5/21/2025,Backfill
1/3/2026,SPYI,0.462,4/23/2025,Backfill
1/3/2026,SPYI,0.506,3/26/2025,Backfill
